date,Drill music,Grime music,Deutschrap,Rap Francais,Country,Category,Streetwear,Tech Fleece,Trapstar,Corteiz,Top Boy,Valide series,4 Blocks,Roadman meaning,Talahon,Wesh meaning,Wireless Festival,Les Ardentes,Splash Festival
2006-12-31,0.0,0.0,0.0,66.75,FR,music_drill,,,,,,,,,,,,,
2007-12-31,0.0,0.0,0.0,51.75,FR,music_drill,,,,,,,,,,,,,
2008-12-31,0.0,0.0,0.08333333333333333,47.5,FR,music_drill,,,,,,,,,,,,,
2009-12-31,0.0,0.0,0.0,65.91666666666667,FR,music_drill,,,,,,,,,,,,,
2010-12-31,0.0,0.0,0.0,52.583333333333336,FR,music_drill,,,,,,,,,,,,,
2011-12-31,0.0,0.0,0.0,41.333333333333336,FR,music_drill,,,,,,,,,,,,,
2012-12-31,0.0,0.0,0.0,32.333333333333336,FR,music_drill,,,,,,,,,,,,,
2013-12-31,0.0,0.0,0.0,28.166666666666668,FR,music_drill,,,,,,,,,,,,,
2014-12-31,0.0,0.0,0.0,25.0,FR,music_drill,,,,,,,,,,,,,
2015-12-31,0.0,0.0,0.0,25.666666666666668,FR,music_drill,,,,,,,,,,,,,
2016-12-31,0.0,0.0,0.0,24.25,FR,music_drill,,,,,,,,,,,,,
2017-12-31,0.0,0.0,0.0,28.833333333333332,FR,music_drill,,,,,,,,,,,,,
2018-12-31,0.08333333333333333,0.0,0.0,20.5,FR,music_drill,,,,,,,,,,,,,
2019-12-31,0.0,0.0,0.0,17.75,FR,music_drill,,,,,,,,,,,,,
2020-12-31,0.0,0.0,0.0,16.0,FR,music_drill,,,,,,,,,,,,,
2021-12-31,0.0,0.0,0.0,11.916666666666666,FR,music_drill,,,,,,,,,,,,,
2022-12-31,0.25,0.0,0.0,10.833333333333334,FR,music_drill,,,,,,,,,,,,,
2023-12-31,0.0,0.0,0.0,9.666666666666666,FR,music_drill,,,,,,,,,,,,,
2024-12-31,0.0,0.0,0.0,8.545454545454545,FR,music_drill,,,,,,,,,,,,,
2004-12-31,,,,,FR,fashion_streetwear,27.333333333333332,0.5,0.0,0.0,,,,,,,,,
2005-12-31,,,,,FR,fashion_streetwear,19.75,0.0,0.0,0.0,,,,,,,,,
2006-12-31,,,,,FR,fashion_streetwear,14.166666666666666,0.0,0.0,0.0,,,,,,,,,
2007-12-31,,,,,FR,fashion_streetwear,12.833333333333334,0.0,0.0,0.0,,,,,,,,,
2008-12-31,,,,,FR,fashion_streetwear,13.25,0.08333333333333333,0.0,0.0,,,,,,,,,
2009-12-31,,,,,FR,fashion_streetwear,11.916666666666666,0.08333333333333333,0.0,0.0,,,,,,,,,
2010-12-31,,,,,FR,fashion_streetwear,10.166666666666666,0.0,0.0,0.0,,,,,,,,,
2011-12-31,,,,,FR,fashion_streetwear,8.666666666666666,0.0,0.0,0.0,,,,,,,,,
2012-12-31,,,,,FR,fashion_streetwear,8.583333333333334,0.0,0.0,0.0,,,,,,,,,
2013-12-31,,,,,FR,fashion_streetwear,7.833333333333333,0.08333333333333333,0.08333333333333333,0.0,,,,,,,,,
2014-12-31,,,,,FR,fashion_streetwear,7.583333333333333,1.0,0.0,0.0,,,,,,,,,
2015-12-31,,,,,FR,fashion_streetwear,7.25,4.333333333333333,0.08333333333333333,0.0,,,,,,,,,
2016-12-31,,,,,FR,fashion_streetwear,7.166666666666667,14.25,0.75,0.0,,,,,,,,,
2017-12-31,,,,,FR,fashion_streetwear,10.083333333333334,8.083333333333334,0.8333333333333334,0.0,,,,,,,,,
2018-12-31,,,,,FR,fashion_streetwear,12.5,5.5,1.0833333333333333,0.0,,,,,,,,,
2019-12-31,,,,,FR,fashion_streetwear,13.25,3.5833333333333335,1.25,0.0,,,,,,,,,
2020-12-31,,,,,FR,fashion_streetwear,14.833333333333334,4.083333333333333,0.8333333333333334,0.0,,,,,,,,,
2021-12-31,,,,,FR,fashion_streetwear,14.666666666666666,11.916666666666666,4.25,1.1666666666666667,,,,,,,,,
2022-12-31,,,,,FR,fashion_streetwear,17.166666666666668,27.333333333333332,26.25,19.583333333333332,,,,,,,,,
2023-12-31,,,,,FR,fashion_streetwear,16.416666666666668,15.25,24.333333333333332,50.916666666666664,,,,,,,,,
2024-12-31,,,,,FR,fashion_streetwear,13.272727272727273,7.7272727272727275,9.0,30.363636363636363,,,,,,,,,
2004-12-31,,,,,FR,media_tv,,,,,0.25,0.0,0.4166666666666667,,,,,,
2005-12-31,,,,,FR,media_tv,,,,,0.5833333333333334,0.0,0.0,,,,,,
