Country,Year,Rap_Market_Share,Drug_Prevalence_Pct,School_Exclusions,Violent_Crime_Count,events_festivals,fashion_streetwear,language_slang,media_tv,music_drill,Crime_Rate_Eurostat,NEET_Rate,GDP_Per_Capita,Gini_Index
Germany,2004,3.5,40.5,0.0,0.0,6.305555555555556,3.1458333333333335,0.05555555555555553,0.16666666666666666,0.4375,527.172,7.76,17700.65,30.7
Germany,2005,4.514285714285714,40.5,0.0,0.0,8.916666666666666,3.9583333333333335,0.0,0.08333333333333333,1.2708333333333333,527.172,8.26,17885.5,30.7
Germany,2006,5.5285714285714285,40.5,0.0,0.0,6.805555555555556,3.75,0.0,0.1111111111111111,5.416666666666666,527.172,7.619999999999999,18617.05,30.7
Germany,2007,6.542857142857143,40.5,0.0,0.0,5.444444444444444,3.6666666666666665,0.0,0.19444444444444445,4.458333333333333,527.172,6.959999999999999,19196.55,30.7
Germany,2008,7.557142857142857,40.5,0.0,0.0,4.75,3.2083333333333335,0.0,0.3055555555555555,5.354166666666666,527.172,6.6,19420.6,30.7
Germany,2009,8.571428571428571,40.5,0.0,0.0,4.0,3.0,0.0,0.25,5.520833333333333,343.302,6.82,18402.4,30.7
Germany,2010,9.585714285714285,40.5,0.0,0.0,3.5833333333333335,2.875,0.0,0.3055555555555555,6.229166666666667,316.326,6.4799999999999995,19217.2,30.7
Germany,2011,10.6,40.5,0.0,0.0,5.527777777777778,3.0208333333333335,0.0,0.2777777777777778,8.979166666666668,336.434,5.84,19941.9,30.7
Germany,2012,11.614285714285714,40.5,0.0,0.0,6.666666666666667,3.041666666666667,0.0,0.3055555555555555,8.875,333.818,5.58,20005.15,30.7
Germany,2013,12.628571428571428,40.5,0.0,0.0,7.027777777777776,3.0,0.0,0.3888888888888889,8.645833333333334,337.878,5.22,20050.1,30.7
Germany,2014,13.642857142857142,40.5,0.0,0.0,5.916666666666667,2.833333333333333,0.0,0.3055555555555555,10.874999999999998,344.868,5.2,20425.95,30.7
Germany,2015,14.657142857142857,40.5,0.0,0.0,5.5,2.916666666666667,0.0,0.3333333333333333,12.604166666666666,349.308,5.1,20615.45,30.1
Germany,2016,15.67142857142857,40.5,0.0,0.0,4.833333333333333,3.2291666666666665,0.0,0.3611111111111111,13.208333333333334,332.35200000000003,5.340000000000001,20940.8,29.5
Germany,2017,16.685714285714283,40.5,0.0,0.0,10.944444444444443,3.4166666666666665,0.0,6.25,17.4375,297.32599999999996,5.1,21481.3,29.1
Germany,2018,17.7,40.5,0.0,0.0,6.333333333333333,3.2916666666666665,0.0,9.888888888888888,19.020833333333332,281.252,4.76,21695.5,31.1
Germany,2019,19.7,40.5,0.0,0.0,13.833333333333334,3.3125,0.0,10.111111111111112,22.520833333333336,266.77,4.6,21895.45,29.7
Germany,2020,19.425,40.5,0.0,0.0,5.25,4.208333333333333,0.0,6.527777777777778,20.5,244.00600000000003,5.46,21008.0,30.5
Germany,2021,19.15,40.5,0.0,0.0,1.361111111111111,11.25,0.0,3.8333333333333335,15.833333333333332,221.17400000000004,5.58,21867.05,31.2
Germany,2022,18.875,40.5,0.0,0.0,9.138888888888888,22.77083333333333,0.0,4.194444444444444,16.3125,274.85,5.159999999999999,22115.6,29.0
Germany,2023,18.6,40.5,0.0,0.0,6.861111111111111,21.875,0.0,4.277777777777778,13.083333333333334,307.588,5.279999999999999,21724.1,29.4
Germany,2024,18.6,40.5,0.0,0.0,5.484848484848484,13.5,8.787878787878787,3.727272727272728,10.613636363636365,307.588,5.2,21554.6,29.5
